,isbn10,authors,title,category_id,lang,year,rating-avg,category_name
872,9814260142,[9154],Journey from Paris to Java,335,en,2010,3.32,Classic Books & Novels
873,1424005388,[7190],Great Expectations : Heinle Reading Library,335,en,2006,3.77,Classic Books & Novels
874,081354632X,[9660],Comedy: American Style,335,en,2009,3.8,Classic Books & Novels
875,151530969X,[9698],Checkmate,335,en,2015,3.56,Classic Books & Novels
876,1533047154,[9745],Siddhartha,335,en,2016,4.02,Classic Books & Novels
877,486838374,[9793],The Marrow of Tradition,335,en,2020,3.89,Classic Books & Novels
878,1107470374,"[9945, 9946]",Taps at Reveille,335,en,2014,3.69,Classic Books & Novels
879,116930169X,[10171],The Black Tulip,335,en,2010,3.8,Classic Books & Novels
880,1606647717,"[10175, 54]","The Duel and Other Stories by Anton Chekhov, Fiction, Anthologies, Short Stories, Classics, Literary",335,en,2008,4.18,Classic Books & Novels
881,1492224650,[10220],El Castillo de Otranto,335,es,2013,3.18,Classic Books & Novels
882,946162654,"[10261, 10262]",The Galosh,335,en,2001,4.17,Classic Books & Novels
883,7351046,[7470],"20,000 Leagues Under The Sea",335,en,2010,3.88,Classic Books & Novels
884,1561035424,"[17491, 17492]",The Best of O. Henry Readalong,335,en,1994,4.15,Classic Books & Novels
885,156103519X,[7470],Around the World in Eighty Days,335,en,1994,,Classic Books & Novels
886,194572382,"[19835, 19836]",Business Venture: Student's Book Level 1,335,en,2000,3.87,Classic Books & Novels
887,1598536672,"[21022, 21023]",Ernest Hemingway: The Sun Also Rises & Other Writings 1918-1926 (Loa #334) : In Our Time (1924) / In Our Time (1925) / The Torrents of Spring / The Sun Also Rises / Journalism & Letters,335,en,2020,,Classic Books & Novels
888,1512239267,[22246],The Gambler,335,en,2015,3.89,Classic Books & Novels
889,060640371X,"[22402, 21987]",The Green Mile : The Complete Serial Novel,335,en,2017,4.44,Classic Books & Novels
890,1096749394,[3778],The Black Cat : Annotated,335,en,2019,4.05,Classic Books & Novels
891,1950435660,"[22422, 22423, 22424]",The House of the Seven Gables : Illustrated Classic,335,en,2019,3.45,Classic Books & Novels
892,1406852058,"[22426, 22427]",The Man-Wolf and Other Tales,335,en,2009,3.42,Classic Books & Novels
893,1680922467,[1330],The Picture of Dorian Gray,335,en,2019,4.07,Classic Books & Novels
894,1448643759,[9740],The Hill of Dreams,335,en,2009,3.89,Classic Books & Novels
895,1493772147,"[22786, 7190]",A Christmas Carol : In Prose. Being a Ghost Story of Christmas. Wounded Warrior Edition,335,en,1843,4.05,Classic Books & Novels
896,1712582747,[22487],The Boats of the Glen Carrig,335,en,2019,,Classic Books & Novels
897,955915643,"[3778, 23384]",The Dupin Mysteries,335,en,2010,3.5,Classic Books & Novels
898,1548888656,[24073],The Mysteries of Udolpho,335,en,2017,3.38,Classic Books & Novels
899,1950435997,"[1757, 24121]",The Illustrated Strange Case of Dr. Jekyll and Mr. Hyde : 100th Anniversary Edition,335,en,2020,3.81,Classic Books & Novels
900,1912700964,"[24250, 24251]",King Kong of Skull Island: 1 : Exodus,335,en,2020,,Classic Books & Novels
901,1912700980,"[24250, 24251]",King Kong of Skull Island: 2 : The Wall,335,en,2020,,Classic Books & Novels
902,575099607,[9677],Frankenstein,335,en,2013,3.79,Classic Books & Novels
903,014139434X,"[23, 24742, 24743]",The 120 Days of Sodom,335,en,2017,3.11,Classic Books & Novels
904,1839642513,[22981],The Art of Alice in Wonderland,335,en,2020,,Classic Books & Novels
905,1909829064,"[7470, 28016]","20,000 Leagues Under The Sea",335,en,2015,3.88,Classic Books & Novels
906,075222025X,[28384],24 Hour Party People,335,en,2002,3.97,Classic Books & Novels
907,8493520489,"[29018, 10081, 29019]",Ulises : Primera Parte: La Maldicion de Poseidon,335,es,2007,4.0,Classic Books & Novels
908,1530422108,[29712],The Handbook of Conundrums,335,en,2016,5.0,Classic Books & Novels
909,171350507X,"[22169, 30724, 2011]",Women Who Wrote : Stories and Poems from Audacious Literary Mavens,335,en,2020,,Classic Books & Novels
910,563535482,"[31064, 31065, 31066, 31067]",Mary Barton: Full-cast Dramatisation,335,,2001,,Classic Books & Novels
911,1469233959,"[31476, 31477]",2001 : A Space Odyssey,335,en,2013,4.14,Classic Books & Novels
912,1094013552,"[31631, 31373]",The Innocence of Father Brown - Volume 1,335,en,2020,4.0,Classic Books & Novels
913,1978624468,"[31723, 31724]",Wise Children,335,en,2018,3.93,Classic Books & Novels
914,1531885322,"[32019, 32020]",Marjorie Morningstar,335,en,2016,3.98,Classic Books & Novels
915,1531806023,"[32989, 32990]",The Door,335,en,2016,3.83,Classic Books & Novels
916,1503265145,[33164],Insectivorous Plants,335,en,2015,3.71,Classic Books & Novels
917,150125152X,"[33704, 33097]",The Cool Cottontail,335,en,2015,3.93,Classic Books & Novels
918,1501251562,"[33704, 33097]",Johnny Get Your Gun,335,en,2015,3.67,Classic Books & Novels
919,1978624409,"[32373, 31724]",Nights at the Circus,335,en,2018,3.91,Classic Books & Novels
920,1491587040,"[31476, 8246]",The Sea Wolf,335,en,2015,4.03,Classic Books & Novels
921,1491586796,"[8736, 31476]",The Age of Innocence,335,en,2015,3.94,Classic Books & Novels
922,1469259737,"[33893, 7051]",Kim,335,en,2012,3.72,Classic Books & Novels
923,146925963X,"[34490, 9858, 34491, 34492]",Great French and Russian Short Stories,335,en,2012,3.0,Classic Books & Novels
924,1491528060,"[34576, 7587]",The Phantom of the Opera,335,en,2014,3.96,Classic Books & Novels
925,1501289314,"[31605, 15418]",When She Was Good,335,en,2015,3.53,Classic Books & Novels
926,1491527900,"[3778, 35163]",Edgar Allan Poe : Collected Stories and Poems,335,en,2014,4.38,Classic Books & Novels
927,1491537183,"[35996, 35997]",The Invisible Man,335,en,2014,3.63,Classic Books & Novels
928,1455814296,"[30513, 33575]",Confessions of a Crap Artist,335,en,2012,3.67,Classic Books & Novels
929,1543675026,"[7470, 30794]","20,000 Leguas Viaje Submarino / 20,000 Leagues Under the Sea",335,es,2018,3.88,Classic Books & Novels
930,149154273X,"[31476, 31477]",2001 : A Space Odyssey,335,en,2014,4.14,Classic Books & Novels
931,1543675034,"[30794, 34491]",Ana Karenina/ Anna Karenina,335,es,2018,4.04,Classic Books & Novels
932,1690589582,[24072],The Rats in the Walls,335,en,2020,,Classic Books & Novels
933,1564590003,[41719],A Strange Story,335,en,1997,2.16,Classic Books & Novels
934,1720468303,[6053],The Island of Dr. Moreau,335,en,2018,3.72,Classic Books & Novels
935,1328869334,[1],1984,335,en,2017,4.18,Classic Books & Novels
936,1925788350,[1],1984 (Nineteen Eighty-Four),335,en,2020,4.18,Classic Books & Novels
937,019211686X,[6980],"10, 000 German Words",335,en,1994,5.0,Classic Books & Novels
938,142096593X,[48381],The Log of a Cowboy,335,en,2020,5.0,Classic Books & Novels
939,1840226528,[48799],Shadow of the Rat and The Tangled Skein - Sherlock Holmes,335,en,2010,3.55,Classic Books & Novels
940,1853262048,[3656],Greenmantle,335,en,1998,3.75,Classic Books & Novels
941,451452739,[50273],2001 a Space Odyssey : 25th Anniversary Edition,335,en,2005,4.14,Classic Books & Novels
1110,141036141,[1],1984,352,en,2008,4.18,Science Fiction
1111,773524940,[5871],Voices in Time,352,en,2011,3.45,Science Fiction
1112,1444766880,[3446],The 100 : Book One,352,en,2013,3.56,Science Fiction
1113,765386437,[7100],Draco Tavern,352,en,2006,3.88,Science Fiction
1114,999773674,"[7216, 7217, 7218]",Mechanical Animals : Tales at the Crux of Creatures and Tech,352,en,2018,3.55,Science Fiction
1115,195132000X,"[7261, 7262, 7263]",Rediscovery : Science Fiction by Women (1958 to 1963): Yesterday's luminaries introduced by today's rising stars,352,en,2019,4.42,Science Fiction
1116,692708561,"[7352, 7353, 7354]",Clones : The Anthology,352,en,2016,4.05,Science Fiction
1117,1944327037,[7393],Snakes & Spiders : The Definitive Change War Collection,352,en,2012,2.5,Science Fiction
1118,9198291319,"[7428, 7429, 7430]",Afrosfv2,352,en,2015,3.63,Science Fiction
1119,1612422489,"[7450, 7451]",The Best of L. Sprague de Camp,352,en,2014,3.96,Science Fiction
1120,1612279465,[7536],Weird Fiction in France : A Showcase Anthology of its Origins and Development,352,en,2020,,Science Fiction
1121,765390604,[7601],Texas Hold'em : A Wild Cards Novel,352,en,2020,3.59,Science Fiction
1122,1534796223,[7641],Adjustment Team,352,en,2016,3.72,Science Fiction
1123,1533107890,[8246],The Scarlet Plague,352,en,2016,3.61,Science Fiction
1124,648322866,[9856],"80,000 Totally Secure Passwords That No Hacker Would Ever Guess",352,en,2018,3.25,Science Fiction
1125,1590215702,"[9967, 9968]",Heiresses of Russ 2015 : The Year's Best Lesbian Speculative Fiction,352,en,2015,3.94,Science Fiction
1126,446677248,"[10210, 10211]",Dark Matter,352,en,2001,4.17,Science Fiction
1127,312890206,[10260],The 5th Head of Cerberus : Three Novellas,352,en,1994,3.97,Science Fiction
1128,7351046,[7470],"20,000 Leagues Under The Sea",352,en,2010,3.88,Science Fiction
1129,1507214731,[12016],The Wisdom of Picard : An Official Star Trek Collection,352,en,2020,,Science Fiction
1130,571340725,[19625],2023 : a trilogy,352,en,2018,3.55,Science Fiction
1131,1138949337,[20349],Media Law Through Science Fiction : Do Androids Dream of Electric Free Speech?,352,en,2019,4.0,Science Fiction
1132,1454914297,"[20762, 20763]",100 Prompts for Science Fiction Writers,352,en,2014,4.22,Science Fiction
1133,1534313613,[22309],100%,352,en,2020,3.98,Science Fiction
1134,1927477964,[22401],Wyvern's Prince,352,en,2018,4.1,Science Fiction
1135,747248397,[22175],Strange Highways : A masterful collection of chilling short stories,352,en,1996,3.85,Science Fiction
1136,1592910556,"[22470, 22471]",Doktor Sleepless: Engines of Desire v. 1,352,en,2008,3.81,Science Fiction
1137,1839641673,[22487],The House on the Borderland,352,en,2020,3.65,Science Fiction
1138,956905390,"[22504, 22502, 22501]",21st Century Modeller Issue 2,352,,2013,,Science Fiction
1139,1682151468,"[22512, 22513, 22514, 22515, 22516, 22517, 22518, 22519, 22520]",4001 A.D.: Beyond New Japan,352,en,2016,3.41,Science Fiction
1140,1949102262,[22654],Best of Jules de Grandin : 20 Classic Occult Detective Stories,352,en,2020,4.0,Science Fiction
1141,578656701,"[23145, 23146, 23147]",Ceres1 : Volume 1: Regeneration,352,en,2020,,Science Fiction
1142,1712582747,[22487],The Boats of the Glen Carrig,352,en,2019,,Science Fiction
1143,990474798,"[23272, 23273]",Nowhere Man : Jacked Up,352,en,2018,,Science Fiction
1144,1401228003,[23514],Ex Machina Deluxe Edition HC Vol 03,352,en,2010,4.09,Science Fiction
1145,1948492474,[4573],Inspirations Weekly Writing Journal : 52 Writing Prompts for Short Stories,352,en,2020,,Science Fiction
1146,1524119407,"[24018, 24019]",Vampirella: Seduction of The Innocent Vol. 2,352,en,2020,,Science Fiction
1147,178565859X,[24043],Night Train,352,en,2020,3.62,Science Fiction
1148,1945863501,[24051],Lake of Darkness,352,en,2020,4.3,Science Fiction
1149,1986635279,[24067],Orbs III : Redemption,352,en,2018,4.12,Science Fiction
1150,1540725324,"[24107, 24108, 24109]",Blue Plague : Hope,352,en,2016,4.76,Science Fiction
1151,989901831,[20033],100 Days in Deadland,352,en,2013,4.07,Science Fiction
1152,192747793X,[22401],Wyvern's Mate,352,en,2018,3.62,Science Fiction
1153,1927477999,[22401],Wyvern's Warrior,352,en,2018,4.2,Science Fiction
1154,1999751264,[24245],Don't Smell The Flowers! They Want To Steal Your Bones!,352,en,2020,4.4,Science Fiction
1155,955985501,[24258],QUERP - Quick Easy Role Play,352,en,2016,5.0,Science Fiction
1156,1447294610,[24326],'48,352,en,2017,3.75,Science Fiction
1157,575099607,[9677],Frankenstein,352,en,2013,3.79,Science Fiction
1158,575085002,[24510],Retromancer,352,en,2011,3.69,Science Fiction
1159,1927668557,[25501],Winter's Cosmos,352,en,2018,3.46,Science Fiction
1160,1974450236,[25972],War Toys and Other Robots : Contributions to the Instagram Sketch Challenge March of the Robots,352,en,2017,,Science Fiction
1161,1975312848,[26338],"RaW Hero, Vol. 2",352,en,2020,3.0,Science Fiction
1162,195036626X,[26676],World of Warcraft: Pearl of Pandaria : Blizzard Legends,352,en,2020,,Science Fiction
1163,1632366967,[26697],Golosseum 2,352,en,2018,3.68,Science Fiction
1164,1975313755,"[26457, 26721]","A Certain Magical Index, Vol. 22",352,en,2020,,Science Fiction
1165,1941511511,"[26769, 26770, 26771, 26772, 26773]",Aspen Universe: Decimation Volume 1,352,en,2018,,Science Fiction
1166,1975300165,"[26709, 26795]","The Isolator, Vol. 3 (manga)",352,en,2018,3.81,Science Fiction
1167,1694082024,[28288],"Fairy Tales Coloring Book : Adults Coloring Book with Pattern for Relaxation Featuring Flower Fairies, Mystical Fairies, Fantasy Fairy",352,en,2019,,Science Fiction
1168,1522642439,"[30646, 30647, 30648]",2113 : Stories Inspired by the Music of Rush,352,en,2016,3.87,Science Fiction
1169,1522684875,"[30742, 30743]",Panglor,352,en,2016,3.75,Science Fiction
1170,1781780501,"[3321, 3644, 3317]",1001 Nights,352,en,2012,3.77,Science Fiction
1171,1469233959,"[31476, 31477]",2001 : A Space Odyssey,352,en,2013,4.14,Science Fiction
1172,197868214X,"[31483, 31484, 31485, 31486, 31455, 31487, 31488, 29201, 31489]",Alien: Out of the Shadows,352,en,2020,3.78,Science Fiction
1173,1442344288,"[31495, 21987]",11/22/63,352,en,2011,4.31,Science Fiction
1174,1469298058,"[31799, 30529]",14,352,en,2013,3.95,Science Fiction
1175,1536655597,"[31855, 31856]",Gamma,352,en,2017,3.99,Science Fiction
1176,1452652902,"[31476, 31965]",2030 : The Real Story of What Happens to America,352,en,2011,3.47,Science Fiction
1177,1094116653,"[32192, 32193]",88 Names,352,en,2020,3.56,Science Fiction
1178,1690597380,"[32718, 32719]",Unforgettable,352,en,2020,,Science Fiction
1179,1491574259,"[31799, 30529]",14,352,en,2014,3.95,Science Fiction
1180,1978636709,"[33629, 33630, 32996]",Beyond Borders,352,en,2018,4.52,Science Fiction
1181,1511309962,"[31855, 33846, 33847]",Honor of the Clan,352,en,2015,3.93,Science Fiction
1182,1501246291,"[31855, 33846]",A Hymn Before Battle,352,en,2015,4.0,Science Fiction
1183,1982681276,"[34118, 34119]",3 in 1 Off the Grid Collection,352,en,2019,4.66,Science Fiction
1184,1522699015,"[31855, 33846, 33847]",Sister Time,352,en,2016,3.79,Science Fiction
1185,1522602615,"[31855, 33846, 33847]",Cally's War,352,en,2016,3.7,Science Fiction
1186,1501270419,"[31855, 33846]",Eye of the Storm,352,en,2015,4.16,Science Fiction
1187,1536645990,"[35845, 35846]",The Dawning Light,352,en,2017,3.23,Science Fiction
1188,1531883966,[35859],The Work of the Devil,352,en,2016,3.32,Science Fiction
1189,1531882668,"[35860, 16376]",Tears in Rain,352,en,2016,3.66,Science Fiction
1190,1713547481,"[32164, 35973, 35974]",Lost Causes of Bleak Creek,352,en,2020,,Science Fiction
1191,1713547570,"[35975, 35976]",Skeen's Return,352,en,2020,4.03,Science Fiction
1192,1713547104,[35981],Debt of War,352,en,2020,,Science Fiction
1193,1713550792,"[35991, 33781]",Breakthrough,352,en,2020,,Science Fiction
1194,1491578181,"[35994, 30513]",Atlas 2,352,en,2014,4.04,Science Fiction
1195,1491537183,"[35996, 35997]",The Invisible Man,352,en,2014,3.63,Science Fiction
1196,1491583630,"[31120, 35999]",Welcome Home/Go Away,352,en,2014,3.85,Science Fiction
1197,152260765X,"[36039, 31556, 36040]",The Shadow Conspiracy II,352,en,2016,3.53,Science Fiction
1198,1543644236,"[32699, 36046]",The Undead,352,en,2017,4.61,Science Fiction
1199,1522609377,"[36076, 30878]",7th Sigma,352,en,2016,3.71,Science Fiction
1200,171353875X,"[36106, 31102]",Leap of Destiny,352,en,2020,,Science Fiction
1201,1501238396,"[36115, 36116, 16376]",The Shield-Maiden,352,en,2015,3.77,Science Fiction
1202,1501280740,"[36124, 32161]",The Sad Tale of the Brothers Grossbart,352,en,2015,3.46,Science Fiction
1203,1501264028,"[30522, 31799]",Ex-Purgatory : A Novel,352,en,2015,3.97,Science Fiction
1204,1511309954,"[31855, 33846, 36126]",The Tuloriad,352,en,2015,3.88,Science Fiction
1205,1491540702,"[36127, 31372]",The Assassins of Altis,352,en,2015,4.16,Science Fiction
1206,1511318589,"[36141, 31996]",The Praxis,352,en,2015,3.82,Science Fiction
1207,1978604009,"[32510, 36157]",Down to the Sea,352,en,2019,3.82,Science Fiction
1208,197860436X,"[32510, 36157]",Men of War,352,en,2019,4.17,Science Fiction
1209,1501216821,"[33700, 31720]",Sphere,352,en,2016,3.79,Science Fiction
1210,149159943X,"[36160, 31380]",Exodus,352,en,2015,3.87,Science Fiction
1211,1713502054,"[31364, 36183]",The Vexed Generation,352,en,2020,4.16,Science Fiction
1212,109406162X,"[36217, 28369]",Gemini Man: The Official Movie Novelization,352,en,2019,3.1,Science Fiction
1213,1662012365,"[36231, 34446]",Collecting the Goddess,352,en,2020,,Science Fiction
1214,1515962806,"[5710, 36232]",The Saints of Salvation,352,en,2020,,Science Fiction
1215,1480576417,"[7470, 35996]",The Master of the World,352,en,2014,3.46,Science Fiction
1216,1094122246,"[19808, 36233, 36234, 36235, 36236, 36237, 31472, 36238, 30647, 36239, 36240, 30693, 36241, 31289]",Alternative Apocalypse,352,en,2020,,Science Fiction
1217,1549107321,[36242],The Trials of Koli,352,en,2020,,Science Fiction
1218,1469258161,"[31404, 36251]",Nightstalkers,352,en,2012,3.86,Science Fiction
1219,1455814296,"[30513, 33575]",Confessions of a Crap Artist,352,en,2012,3.67,Science Fiction
1220,1501270346,"[30698, 36257]",Debris,352,en,2015,3.46,Science Fiction
1221,149159022X,"[31364, 36183]",Master of Formalities,352,en,2015,3.84,Science Fiction
1222,1491591099,"[36262, 36263]",Scanners Live in Vain,352,en,2015,4.03,Science Fiction
1223,1511397306,"[32164, 36280]",Fisherman's Hope,352,en,2016,3.86,Science Fiction
1224,1511397241,"[36284, 36285]",Northworld,352,en,2016,3.54,Science Fiction
1225,1511395079,"[30743, 36286]",Mech : The Empress,352,en,2016,3.82,Science Fiction
1226,1511395044,"[36286, 36292]",Element-X,352,en,2016,3.87,Science Fiction
1227,1511394676,"[9742, 30693]",Reunion,352,en,2016,3.87,Science Fiction
1228,1522614516,"[36299, 30522, 36300]",Dead Earth : The Vengeance Road,352,en,2016,3.48,Science Fiction
1229,1455855170,"[36318, 31231]",Daybreak Zero,352,en,2011,3.59,Science Fiction
1230,1713547589,"[36330, 33781]",Stake,352,en,2020,4.33,Science Fiction
1231,1713547562,"[35975, 35976]",Skeen's Leap,352,en,2020,3.73,Science Fiction
1232,1713544067,"[35975, 35976]",Skeen's Search,352,en,2020,3.99,Science Fiction
1233,1713544016,"[36333, 36334, 36335]",The Hundred,352,en,2020,4.77,Science Fiction
1234,1522679367,"[34518, 36340]",Temporary Agency,352,en,2016,3.69,Science Fiction
1235,1536634018,"[31855, 36357]",The Death of Captain Future,352,en,2017,3.34,Science Fiction
1236,1536627305,"[32742, 36361]",The Cutting Room,352,en,2016,4.0,Science Fiction
1237,153662621X,"[36362, 31464]",The First City,352,en,2017,4.28,Science Fiction
1238,1536629316,"[36363, 36364]",Tales of the Invisible Hand,352,en,2016,3.25,Science Fiction
1239,1536645613,"[31341, 36366]",Walk the Plank,352,en,2017,3.87,Science Fiction
1240,1536646067,"[36369, 33559]",The Space Hostages,352,en,2017,3.5,Science Fiction
1241,1536645982,"[35845, 35846]",The Shrouded Planet,352,en,2017,3.02,Science Fiction
1242,1531803458,"[33045, 36370]",Colonel,352,en,2016,3.79,Science Fiction
1243,1531815324,"[36371, 36372, 36373, 4133, 36374]",Of War and Honor,352,en,2016,3.28,Science Fiction
1244,1536634034,"[31855, 36357]",Stealing Alabama,352,en,2017,3.8,Science Fiction
1245,1536646385,"[33094, 36375]",The Fish Merchant,352,en,2017,3.6,Science Fiction
1246,1531844812,"[36376, 36377]",The Unsettled Dust,352,en,2016,4.16,Science Fiction
1247,153184071X,"[36378, 31376]",The Great Game,352,en,2016,3.55,Science Fiction
1248,1536646199,"[32034, 35694]",Signatures of the Dead,352,en,2017,4.03,Science Fiction
1249,1531879276,"[36389, 32510, 36390, 36391]",Going Mutant : The Bat Boy Exposed!,352,en,2016,,Science Fiction
1250,153663865X,"[36148, 36392]",Owl and the City of Angels,352,en,2017,3.81,Science Fiction
1251,1536649392,"[34226, 36393, 36394]",Annihilation,352,en,2017,4.34,Science Fiction
1252,1491592192,"[31364, 36183]",Off to be the Wizard,352,en,2015,3.99,Science Fiction
1253,1713521148,"[36429, 36430]",Regeneration,352,en,2020,4.13,Science Fiction
1254,1713507536,"[36433, 36434]",The Earthling,352,en,2020,3.83,Science Fiction
1255,1713507765,"[32141, 31830]","Into the Void Omnibus : Memories of Earth, Books 1-3",352,en,2020,,Science Fiction
1256,1522670858,"[31120, 36436]",23 Years on Fire,352,en,2016,4.17,Science Fiction
1257,1536690163,[36439],Song of Edmon,352,en,2017,3.81,Science Fiction
1258,1522637753,"[30746, 36442]",The Trials,352,en,2016,3.8,Science Fiction
1259,1515955001,"[36443, 31331]",The Cicada Prophecy,352,en,2016,3.36,Science Fiction
1260,153182658X,"[36444, 36445, 34515]",A Mind for Trade,352,en,2016,3.91,Science Fiction
1261,1531826628,"[36446, 35858]",Return of the Archon,352,en,2016,4.32,Science Fiction
1262,1543662110,"[36433, 31905]",Earth Shadows,352,en,2017,4.16,Science Fiction
1263,1501260839,"[33561, 27829]",Beyond Dinocalypse,352,en,2015,3.67,Science Fiction
1264,1501227297,"[32034, 30522, 31314, 31799]",Ex-Isle,352,en,2016,3.97,Science Fiction
1265,153855660X,[36509],Trinity Sight,352,en,2020,3.75,Science Fiction
1266,1480542318,"[4581, 32742, 34586, 36540, 30733]",Burning Chrome,352,en,2013,4.05,Science Fiction
1267,1713508184,"[36429, 36430]",Survival,352,en,2020,3.93,Science Fiction
1268,1543675026,"[7470, 30794]","20,000 Leguas Viaje Submarino / 20,000 Leagues Under the Sea",352,es,2018,3.88,Science Fiction
1269,1511328843,"[36564, 32026]",Falcone Strike,352,en,2016,4.19,Science Fiction
1270,1094116661,"[32192, 32193]",88 Names,352,en,2020,3.56,Science Fiction
1271,1501262610,[33149],Savage Planet,352,en,2015,3.87,Science Fiction
1272,1511399570,"[30886, 36589, 36590, 36591, 31289]",Sailing Bright Eternity,352,en,2016,3.86,Science Fiction
1273,1522605835,"[36593, 36594]",The Star Country,352,en,2016,3.5,Science Fiction
1274,1522603662,"[36285, 36595]",Jancy's Justice,352,en,2016,2.83,Science Fiction
1275,152260393X,"[36596, 36597]",Alien Influences,352,en,2016,3.81,Science Fiction
1276,1522601147,"[36599, 36600]",Blood Red,352,en,2016,3.75,Science Fiction
1277,1522600795,"[36601, 31403]",What Gods Demand : A Blasted Lands Tale,352,en,2016,3.0,Science Fiction
1278,1522600779,"[36602, 36603]",Healing,352,en,2016,5.0,Science Fiction
1279,1522603107,"[30932, 36429]",To Trade the Stars,352,en,2016,4.03,Science Fiction
1280,1522603069,"[36429, 36063]",Changing Vision,352,en,2016,4.08,Science Fiction
1281,1978681992,"[36633, 32890]",Nightmare,352,en,2020,4.12,Science Fiction
1282,1713521024,"[36429, 36430]",Migration,352,en,2020,4.08,Science Fiction
1283,1713507838,"[31905, 36636]",The Last Stand,352,en,2020,4.35,Science Fiction
1284,1713507544,"[31855, 36638]",Echoes of Valor,352,en,2020,4.47,Science Fiction
1285,1511370815,"[36640, 32235]",Lucky Thirteen,352,en,2016,4.06,Science Fiction
1286,152266615X,"[36164, 36165]",900 Miles : A Zombie Novel,352,en,2016,3.62,Science Fiction
1287,1531826520,"[36686, 30666]",Wild Card Run,352,en,2016,4.16,Science Fiction
1288,1501238086,"[33038, 36710]",Space Cadet,352,en,2015,3.81,Science Fiction
1289,1511338466,"[36718, 36719]",Clay's Ark,352,en,2015,3.82,Science Fiction
1290,1536633984,"[33070, 36366]",The Sagan Diary,352,en,2017,3.3,Science Fiction
1291,1536645567,"[36732, 36733]",The Closed Worlds,352,en,2017,3.92,Science Fiction
1292,1536645702,"[31341, 36366]","Earth Below, Sky Above",352,en,2017,4.23,Science Fiction
1293,1543624723,"[36774, 36775]",Graft,352,en,2017,3.35,Science Fiction
1294,1543624340,"[36777, 36778]",My Name is Markham,352,en,2017,4.3,Science Fiction
1295,154362572X,"[36779, 36780]",Hunger Makes the Wolf,352,en,2017,3.93,Science Fiction
1296,1543624162,"[36781, 36782]",The Unmaking Engine,352,en,2017,4.16,Science Fiction
1297,1543642322,"[36794, 35999]",Kris Longknife's Replacement,352,en,2017,3.93,Science Fiction
1298,1543643280,"[31120, 36795]",Terradox,352,en,2017,3.84,Science Fiction
1299,1543642802,"[36796, 32996]",Victory's Defeat,352,en,2017,4.6,Science Fiction
1300,1543660584,"[31314, 36286, 36804]",Battleship Indomitable,352,en,2017,4.31,Science Fiction
1301,1522609415,"[32890, 36633]",Nightmare,352,en,2016,4.12,Science Fiction
1302,1662012527,"[36834, 36835, 34446]",The Magic Legacy,352,en,2020,,Science Fiction
